Style/Genre,"1,000 - 10,000","10,000 - 50,000","50,000 - 100,000","100,000 - 500,000"
Anime,fuurin_aiart,the.artful.ai,sushi_musume_jk,bruinirax.digitalart
Anime,wellingtonton29,asmi_creator,anime00s,bebop.genesis
Character Design,midjourney_mondays,raymur.art,roguerobot.ai,aicharactersart
Character Design,ai_hiro_abe,kaptaincocoa,bra1nst0rming_,null
Environment/Landscape,prompt.soru,mystics_meta,wh3re.is.the.sun,eightbitstrana
Environment/Landscape,ai_equiped,iguana_nick,iamsentient_,darylanselmo
Fantasy,mdjrn.charmings,alvia.art,ephellem,twistedvisions.ai
Fantasy,dreamerszenltd,majara__,dreamworlddweller,digital_art_fusion
Fashion,modelaindo,glamoph,doopiidoo,tinkertailorart
Fashion,mekuwelt,fashion.coupids,bonnycarrera,aidesign.png
Horror,hellimagery,thehorror.ai,art_from_the_aether,chrisperna
Horror,goat_cigs,macabre.masters.ai,neural.horror,null
Mecha,clueless.machines,igor_art_ua,hxai_digitalart,null
Mecha,ankan_bhowmick.ai,kzy2017,null,null
Portrait,arttacksyou,mako_aiart,imaginationtwist.ai,mindful.machine.art
Portrait,ekjahanor2021,girolamoartimagery,niyfulx,artworks_by_rokii
Realistic Anime,nao_yukiyanagi,akenoslove,blue.kitsune.ai,anime.loveii
Realistic Anime,bandc.ai,aidolsmedia,freiart_mjr,satomii_kun
Semi Realism,impish.ai,pixiewonderland.ai,daydream.ai,nephtys__s
Semi Realism,imvidvn,joerusssketchbook,_artsopolis,artworks_by_rokii
Stylized,midjoeney,tonybamber,24kenva,diegosilvadigital
Stylized,illusionoflaife,zenithworkshop,jeaninespets,3lot3ro
Traditional Painting,ylmz_omer32,biohacker,cy_artsfun,01000101_01100111_01101111
Traditional Painting,vince.hogge,marilyns_canvas,sunflower_ai,lostdreams.ai
